,anime_id,Name,English name,Other name,Score,Genres,Synopsis,Type,Episodes,Aired,Premiered,Status,Producers,Licensors,Studios,Source,Duration,Rating,Rank,Popularity,Favorites,Scored By,Members,Image URL
23236,53102,Chunkun,UNKNOWN,春困,UNKNOWN,Drama,"On a spring day, the heroine falls asleep in her language class and has a dream. In the dream, she goes back to the ancient times, and a story of meeting and knowing a gentleman unfolds.

(Source: Movie Douban, translated)",Movie,1.0,"Jul 1, 2018",UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,UNKNOWN,Original,6 min,PG-13 - Teens 13 or older,15325.0,22178,0,UNKNOWN,59,https://cdn.myanimelist.net/images/anime/1606/128199.jpg
23238,53110,Bus Tei Nite...,UNKNOWN,バス停にて...,UNKNOWN,Comedy,"Paper animation, directed and animated by Hideaki Anno while he was at university to show at a college screening ""First Pictures Show"".

(Source: Tokyo International Film Festival)",Movie,1.0,1980,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,UNKNOWN,Original,18 sec,G - All Ages,15037.0,20033,0,UNKNOWN,131,https://cdn.myanimelist.net/images/anime/1346/128244.jpg
23243,53117,Zujou Kazoku Cavigliano,UNKNOWN,頭上家族チャビリアーノ,UNKNOWN,Comedy,A claymation short film about strange creatures who live atop a middle age office worker's head.,Movie,1.0,2002,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,UNKNOWN,Original,8 min,PG-13 - Teens 13 or older,14393.0,22636,0,UNKNOWN,52,https://cdn.myanimelist.net/images/anime/1244/128274.jpg
23244,53118,True North,True North,トゥルーノース,UNKNOWN,Drama,"When Yohan is nine years old, he, his mother and sister are forcibly relocated to a notoriously cruel political prison camp in North Korea.  His innocence is gradually eroded by the harsh brutality of the camp, while the rest of his family tries to maintain their decency and compassion for their fellow humans.  Years later, after being devastated by the sudden and tragic loss of a loved one, he begins to reassess the meaning of his life - even as he struggles to survive in the worst imaginable living conditions.

(Source: Official Site)",Movie,1.0,"Jun 4, 2021",UNKNOWN,Finished Airing,Toei Video,UNKNOWN,UNKNOWN,Original,1 hr 34 min,PG-13 - Teens 13 or older,13085.0,20844,0,UNKNOWN,87,https://cdn.myanimelist.net/images/anime/1656/128275.jpg
23245,53119,Ame Koujou,Candy Factory,飴工場,UNKNOWN,Supernatural,Ghosts appear at a candy factory and have some fun with the workers.,Movie,1.0,2003,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,UNKNOWN,Original,6 min,G - All Ages,14539.0,21992,0,UNKNOWN,62,https://cdn.myanimelist.net/images/anime/1035/128276.jpg
23246,53121,Pacalien,UNKNOWN,パカリアン,UNKNOWN,"Comedy, Horror, Sci-Fi","Romeros is an alien investigator who looks like an alpaca. When he lands on Earth, he finds his spaceship damaged and becomes disconnected with his planet. He arrives on a mountain where a person wearing a weird mask is waiting for him.

(Source: Short Shorts Film Festival &amp; Asia)",Movie,1.0,"Jun 3, 2017",UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,Angle,Original,10 min,PG-13 - Teens 13 or older,18792.0,20848,0,UNKNOWN,87,https://cdn.myanimelist.net/images/anime/1695/128278.jpg
23247,53122,Mirror,Mirror,MIRROR,UNKNOWN,Avant Garde,"The theme in this animation is doppelganger. This is story of one man and myself. Their memory, dream and hallucination are talked about in turn and their past and future go to gradually mix.",Movie,1.0,2012,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,UNKNOWN,Original,5 min,PG-13 - Teens 13 or older,18177.0,20147,0,UNKNOWN,125,https://cdn.myanimelist.net/images/anime/1430/128281.jpg
23248,53125,Eiga no Yousei: Fill and Moo,Fill and Moo,映画の妖精 フィルとムー,UNKNOWN,"Adventure, Fantasy","Fill is a film fairy who lives alone in ruins. She looks lonely. One day, a projector shows up in front of her, and suddenly old films appear among the sound of rolling film. Fill is roped into the screen by a film seed named Moo, and the journey of Fill and Moo begins.

(Source: Winter Film Awards)",Movie,1.0,2017,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,Angle,Original,8 min,G - All Ages,15793.0,22166,0,UNKNOWN,60,https://cdn.myanimelist.net/images/anime/1649/128300.jpg
23252,53129,Seishun Buta Yarou wa Odekake Sister no Yume wo Minai,Rascal Does Not Dream of a Sister Venturing Out,青春ブタ野郎はおでかけシスターの夢を見ない,UNKNOWN,"Drama, Romance, Supernatural","WHAT WILL IT TAKE TO MAKE HER WISH COME TRUE?

After a draining December, Sakuta is quickly nearing the end of his second year of high school. Since Mai is a third-year student, they don't have much time left together before graduation rolls around. Meanwhile, his sister, Kaede, is slowly but steadily venturing outdoors again. Just as she begins to find her footing, she announces her most ambitious goal yet—attending her brother's high school! Sakuta knows better than anyone how difficult this will be for Kaede, and he's ready to support her however he can. He's just not sure if that's what's best for her...or what she really wants... 

(Source: Yen Press)",Movie,1.0,"Jun 23, 2023",UNKNOWN,Not yet aired,"Aniplex, Kadokawa",UNKNOWN,CloverWorks,Light novel,1 hr 13 min,PG-13 - Teens 13 or older,UNKNOWN,2326,344,UNKNOWN,74680,https://cdn.myanimelist.net/images/anime/1540/134808.jpg
23253,53130,Eisen Flügel,UNKNOWN,アイゼンフリューゲル,UNKNOWN,Fantasy,"In a world where dragons rule the skies, mankind still dreams about taking to the skies and dominating the heavens in their place. Even during wartime, the passionate young pilot Karl Schuniz pursues his dreams, taking up his steel wings—the revolutionary new aircraft, the Blitz Vogel—to challenge the Kaiser Drache, the fastest dragon capable of supersonic flight.

(Source: MAL News)",Movie,1.0,Not available,UNKNOWN,Not yet aired,Aniplex,UNKNOWN,A-1 Pictures,Light novel,Unknown,UNKNOWN,UNKNOWN,8489,5,UNKNOWN,4270,https://cdn.myanimelist.net/images/anime/1450/128319.jpg
23258,53137,Watashi no Touchika,Our Little Pond,わたしのトーチカ,UNKNOWN,Drama,"I’m the only one who can't live without an oxygen tank in the underwater world. No matter how suffocated I feel, I preserve peace and harmony by pretending the selfish girl and my friends with complicated family backgrounds don’t bother me.",Movie,1.0,"Mar 7, 2021",UNKNOWN,Finished Airing,Geidai Animation,UNKNOWN,UNKNOWN,Original,14 min,PG - Children,13353.0,19987,0,UNKNOWN,134,https://cdn.myanimelist.net/images/anime/1997/128408.jpg
23259,53138,Tayutaum,UNKNOWN,tayutaum,UNKNOWN,Avant Garde,"This is a dream of a girl who is imagining to be a bird. The title ""tayutaum"" is a combination of the words: ""tayutau yume (floating dream)"", ""hakuchuumu (daydream)"", and ""aquarium"". I want the audience to feel the physical sensation of flying in the sky or floating in the water.

(Source: Official Site)",Movie,1.0,2013,UNKNOWN,Finished Airing,Tamabi,UNKNOWN,UNKNOWN,Original,2 min,G - All Ages,12854.0,20280,0,UNKNOWN,117,https://cdn.myanimelist.net/images/anime/1102/128409.jpg
23260,53139,Penguin Boy Lulu to Kiki,UNKNOWN,ペンギンぼうやルルとキキ,UNKNOWN,UNKNOWN,A stop motion puppet animation by Tadahito Mochinaga.,Movie,1.0,Sep 1958,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,UNKNOWN,Original,17 min,G - All Ages,18855.0,20655,0,UNKNOWN,95,https://cdn.myanimelist.net/images/anime/1801/128410.jpg
23261,53143,Sangja Sog-ui Ai,Child in a Box,상자 속의 아이,UNKNOWN,Slice of Life,"Left inside a box all day, a child's only friend is his little toy plane. All alone, the child lets his imagination fly, creating interesting new situations that allow him to meet even more friends. 

(Source: yesasia.com)",Movie,1.0,2002,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,UNKNOWN,Original,6 min,G - All Ages,19374.0,22609,0,UNKNOWN,53,https://cdn.myanimelist.net/images/anime/1734/128413.jpg
23262,53144,Dangsin-eul Chodaehago Sipseubnida,I Want to Invite You,당신을 초대하고 싶습니다,UNKNOWN,Avant Garde,"A woman is widowed soon after her marriage. On the day of the funeral, the driver wears flashy pink clothes. The widow's sister has been spending the entire day alone when she hears someone knocking at the door...

(Source: yesasia.com)",Movie,1.0,2003,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,UNKNOWN,Original,9 min,PG-13 - Teens 13 or older,15503.0,22057,0,UNKNOWN,61,https://cdn.myanimelist.net/images/anime/1680/128414.jpg
23263,53146,Yangseongpyeongdeung 2,Gender Equality 2,양성평등 2,UNKNOWN,UNKNOWN,A sequel film which presents pictograms where men are absent.,Movie,1.0,2009,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,UNKNOWN,Original,2 min,G - All Ages,13994.0,19499,0,UNKNOWN,164,https://cdn.myanimelist.net/images/anime/1086/128416.jpg
23268,53153,Accept,UNKNOWN,ACCEPT,UNKNOWN,"Drama, Romance",A husband's final moments with his dying wife.,Movie,1.0,2020,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,UNKNOWN,Original,3 min,G - All Ages,14461.0,20546,0,UNKNOWN,101,https://cdn.myanimelist.net/images/anime/1956/128494.jpg
23272,53157,Nandodemo Wasureyou,Keep Forgetting,何度でも忘れよう,UNKNOWN,Avant Garde,"Why do you want acceptance? If it's not going to happen, then forget about what it was you wanted acknowledged and just have some soup, like always.

(Source: Geidai Animation)",Movie,1.0,2019,UNKNOWN,Finished Airing,Geidai Animation,UNKNOWN,UNKNOWN,Original,10 min,PG-13 - Teens 13 or older,18417.0,20900,0,UNKNOWN,84,https://cdn.myanimelist.net/images/anime/1170/128498.jpg
23273,53158,Kudamono,Fruits,くだもの,UNKNOWN,Avant Garde,"At some point, children diverge from the ideal path set forth for them by adults. The trigger is usually a trivial incident.

(Source: Geidai Animation)",Movie,1.0,2018,UNKNOWN,Finished Airing,Geidai Animation,UNKNOWN,UNKNOWN,Original,2 min,PG-13 - Teens 13 or older,17532.0,20511,0,UNKNOWN,105,https://cdn.myanimelist.net/images/anime/1827/128499.jpg
23282,53171,MaMa (Movie),UNKNOWN,MaMa,UNKNOWN,Avant Garde,"My mother loves me. She always worries about me. ""Are you alright?"" Even if she dies.

(Source: YouTube)",Movie,1.0,2010,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,UNKNOWN,Original,5 min,G - All Ages,17864.0,20992,0,UNKNOWN,81,https://cdn.myanimelist.net/images/anime/1756/128559.jpg
23283,53172,White Fireworks,UNKNOWN,White Fireworks,UNKNOWN,Drama,"A winter night during the war, a bomb maker was making bombs. He made many of them, and all of a sudden, one if them wakes up. ""I'm sorry to make you. You should live as you feel."" The bomb was confused to his situation, born as a weapon, and went in to the woods. After a while, the war ends and one fire work lightens up the night.

(Source: YouTube)",Movie,1.0,"Jun 29, 2016",UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,UNKNOWN,Original,8 min,G - All Ages,13373.0,20627,0,UNKNOWN,97,https://cdn.myanimelist.net/images/anime/1090/128560.jpg
23286,53182,Meow no Hoshi,UNKNOWN,ミャウの星,UNKNOWN,Drama,A story about a girl and her cat Meow.,Movie,1.0,"Feb 11, 1984",UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,UNKNOWN,Original,5 min,G - All Ages,18064.0,19883,0,UNKNOWN,139,https://cdn.myanimelist.net/images/anime/1746/128590.jpg
